feature,importance_mean,importance_std
midterm,0.0518535499951003,0.008382153200289337
self_regulation,0.032015595931655656,0.00794912886207881
assignment_average,0.022341356224593635,0.006798506927435078
quiz_average,0.017312190388099502,0.0054929993751851045
prior_course_grade,0.014429511579356524,0.004590990689486467
previous_gpa,0.01049026768228179,0.003995167247735539
assignment_on_time,0.010116656148499886,0.004475504224421817
motivation,0.00826937207159879,0.002909845609119759
self_efficacy,0.0068852049406912304,0.003012389044663801
academic_anxiety,0.005583567093586661,0.003363149458432623
weekly_questions,0.005451436024313428,0.0024405617134620255
study_hours_week,0.0044428018844878455,0.0026993256786572058
problem_solving,0.003483154055570664,0.0018172399939833381
practice_test_score,0.002899502221107847,0.001966388516921573
time_management,0.002380094202522637,0.0019349367929962207
video_watch_minutes,0.0020359059423050276,0.0015496316150067563
attendance_rate,0.002033569949205416,0.001126395741441118
application_skills,0.001421996421193983,0.0011877918034822177
age,0.0013575017359394258,0.0008202144426240294
critical_thinking,0.001230377386686149,0.001249476362561837
conceptual_understanding,0.00030898365223577253,0.0004910552225747678
gender,6.991676532178693e-05,0.0004138941010854988
lms_login_count,2.7314864309857523e-05,0.000545059020677219
absence_hours,0.0,0.0
recommendation_completion_rate,0.0,0.0
advanced_topics,-4.097125706050697e-05,0.0010833844744573054
preferred_learning_type,-8.636770191995935e-05,6.457728920965955e-05
class_year,-0.00018985168375291184,0.00043233717929427976
