feature,importance_mean,importance_std
midterm,0.12293870049736097,0.0690022662260215
practice_test_score,0.07927671803963739,0.06356436297179818
quiz_average,0.07789994720478641,0.057360540265814046
problem_solving,0.07354401005246274,0.05553181139187701
assignment_on_time,0.049490015552303944,0.05983274749470418
previous_gpa,0.045696424185061264,0.04510751240483013
video_watch_minutes,0.03298356478398663,0.05908393791573495
time_management,0.022214556695265664,0.01681029852078613
academic_anxiety,0.021739706533398417,0.05231885829964057
self_efficacy,0.019306321696278606,0.008070907168287764
recommendation_completion_rate,0.017519172383943606,0.04765888049082744
absence_hours,0.01616465538115926,0.03237690383929844
attendance_rate,0.015883333145237037,0.027319638068900663
study_hours_week,0.010136409853570495,0.007609946513588845
conceptual_understanding,0.007861013163346541,0.004766790339844169
class_year,0.0032397430740319253,0.00274273891505264
self_regulation,0.0028865388409955394,0.0019599707499591084
advanced_topics,0.002606401009678472,0.0053391490764680295
lms_login_count,0.0024740773128523576,0.02151086598714023
critical_thinking,0.0015281853560777936,0.0025392644140168437
application_skills,0.0014076063818292794,0.004309267361108549
assignment_average,2.6914808313316386e-05,0.003481265850177682
preferred_learning_type,0.0,0.0
prior_course_grade,-0.0003457131808816016,0.0028421814738222853
weekly_questions,-0.0010051868538042408,0.004420739750393403
age,-0.0014192106944395434,0.005056196731325352
gender,-0.0017121615357518216,0.0017121615357518218
motivation,-0.008618860106680082,0.022984278416426838
