perturbation_group,target_update,spillover,decay_multiplier,mean_adaptive_minus_static,ci_low,ci_high,adaptive_higher_pct,equal_pct,adaptive_lower_pct
Target update,0.28,0.05,1.0,0.07333673043516115,0.008226108128398168,0.14375253714923664,7.5,91.0,1.5
Target update,0.35,0.05,1.0,0.10092651613137889,-0.10030652736700478,0.26978107620401154,10.5,87.0,2.5
Target update,0.42,0.05,1.0,0.15389289057429154,-0.06654718411157422,0.35338985515365207,10.5,87.0,2.5
Spillover,0.35,0.04,1.0,0.08425578655725047,-0.1293868182380119,0.25305817742459674,10.5,87.0,2.5
Spillover,0.35,0.05,1.0,0.10092651613137889,-0.10030652736700478,0.26978107620401154,10.5,87.0,2.5
Spillover,0.35,0.06,1.0,0.10672980536787278,-0.08587232475522992,0.2774230513029423,10.0,87.0,3.0
Decay multiplier,0.35,0.05,0.8,0.08032508679847268,-0.0807882932449957,0.21549298019620172,10.5,87.0,2.5
Decay multiplier,0.35,0.05,1.0,0.10092651613137889,-0.10030652736700478,0.26978107620401154,10.5,87.0,2.5
Decay multiplier,0.35,0.05,1.2,0.12116146646851547,-0.12036659166265871,0.3237385326225894,10.5,87.0,2.5
